date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20201004;Sachsen;7.51;7
20201004;Bayern;7.640000000000001;2
20201004;Nordrhein-Westfalen;7.21;3
20201004;Hamburg;7.13;1
20201004;Mecklenburg-Vorpommern;8.24;11
20201004;Niedersachsen;7.47;1
20201004;Deutschland;7.5;3
20201004;Bremen;7.48;0
20201004;Thüringen;7.69;5
20201004;Saarland;7.34;3
20201004;Sachsen-Anhalt;7.640000000000001;7
20201004;Rheinland-Pfalz;7.86;2
20201004;Schleswig-Holstein;7.42;5
20201011;Baden-Württemberg;7.7700000000000005;4
20201011;Hessen;7.55;1
20201011;Berlin;7.11;-1
20201011;Brandenburg;7.3100000000000005;7
20201011;Sachsen;7.48;6
20201011;Bayern;7.72;3
20201011;Nordrhein-Westfalen;7.6000000000000005;8
20201011;Hamburg;6.97;-1
20201011;Mecklenburg-Vorpommern;7.890000000000001;6
20201011;Niedersachsen;7.53;2
20201011;Deutschland;7.61;4
20201011;Bremen;7.55;1
20201011;Thüringen;7.63;5
20201011;Saarland;7.66;7
20201011;Sachsen-Anhalt;7.59;6
20201011;Rheinland-Pfalz;8.17;6
20201011;Schleswig-Holstein;7.17;1
20201018;Baden-Württemberg;7.57;2
20201018;Hessen;7.19;-4
20201018;Berlin;6.34;-12
20201018;Brandenburg;6.79;-1
20201018;Sachsen;7.19;2
20201018;Bayern;7.57;1
20201018;Nordrhein-Westfalen;7.08;1
20201018;Hamburg;6.53;-7
20201018;Mecklenburg-Vorpommern;7.96;7
20201018;Niedersachsen;7.0600000000000005;-4
20201018;Deutschland;7.24;-1
20201018;Bremen;6.9;-7
20201018;Thüringen;7.43;2
20201018;Saarland;7.0600000000000005;-1
20201018;Sachsen-Anhalt;7.3500000000000005;3
20201018;Rheinland-Pfalz;7.62;-2
20201018;Schleswig-Holstein;7.0200000000000005;-1
20201025;Baden-Württemberg;7.59;2
20201025;Hessen;7.47;-1
20201025;Berlin;6.37;-11
20201025;Brandenburg;6.83;0
20201025;Sachsen;7.03;0
20201025;Bayern;7.55;1
20201025;Nordrhein-Westfalen;6.93;-1
20201025;Hamburg;6.63;-6
20201025;Mecklenburg-Vorpommern;7.87;6
20201025;Niedersachsen;6.91;-6
20201025;Deutschland;7.2;-1
20201025;Bremen;6.76;-9
20201025;Thüringen;7.28;0
20201025;Saarland;7.0;-2
20201025;Sachsen-Anhalt;7.12;0
20201025;Rheinland-Pfalz;7.54;-3
20201025;Schleswig-Holstein;7.140000000000001;1
20201101;Baden-Württemberg;7.0;-6
20201101;Hessen;7.23;-4
20201101;Berlin;6.37;-11
20201101;Brandenburg;6.59;-4
20201101;Sachsen;6.47;-8
20201101;Bayern;7.17;-4
20201101;Nordrhein-Westfalen;7.22;3
20201101;Hamburg;6.34;-10
20201101;Mecklenburg-Vorpommern;7.33;-1
20201101;Niedersachsen;6.87;-7
20201101;Deutschland;7.0200000000000005;-4
20201101;Bremen;6.76;-9
20201101;Thüringen;6.71;-8
20201101;Saarland;7.23;1
20201101;Sachsen-Anhalt;6.92;-3
20201101;Rheinland-Pfalz;7.59;-2
20201101;Schleswig-Holstein;6.74;-5
20201108;Baden-Württemberg;6.97;-7
20201108;Hessen;6.73;-10
20201108;Berlin;6.22;-14
20201108;Brandenburg;6.5;-5
20201108;Sachsen;6.72;-5
20201108;Bayern;6.640000000000001;-11
20201108;Nordrhein-Westfalen;6.7700000000000005;-3
20201108;Hamburg;6.2;-12
20201108;Mecklenburg-Vorpommern;7.01;-6
20201108;Niedersachsen;6.76;-9
20201108;Deutschland;6.75;-7
20201108;Bremen;6.69;-10
20201108;Thüringen;6.86;-6
20201108;Saarland;6.75;-6
20201108;Sachsen-Anhalt;6.93;-3
20201108;Rheinland-Pfalz;7.13;-8
20201108;Schleswig-Holstein;6.61;-7
20201115;Baden-Württemberg;7.01;-6
20201115;Hessen;6.8500000000000005;-9
20201115;Berlin;6.29;-13
20201115;Brandenburg;6.4;-6
20201115;Sachsen;6.74;-4
20201115;Bayern;6.95;-7
20201115;Nordrhein-Westfalen;6.8500000000000005;-2
20201115;Hamburg;6.34;-10
20201115;Mecklenburg-Vorpommern;6.91;-7
20201115;Niedersachsen;6.8;-8
20201115;Deutschland;6.8500000000000005;-6
20201115;Bremen;6.82;-8
20201115;Thüringen;6.91;-5
20201115;Saarland;6.94;-3
20201115;Sachsen-Anhalt;6.94;-3
20201115;Rheinland-Pfalz;7.17;-7
20201115;Schleswig-Holstein;6.67;-6
20201122;Baden-Württemberg;6.91;-7
20201122;Hessen;6.8;-9
20201122;Berlin;5.84;-19
20201122;Brandenburg;6.28;-8
20201122;Sachsen;6.0200000000000005;-15
20201122;Bayern;6.78;-9
20201122;Nordrhein-Westfalen;6.79;-3
20201122;Hamburg;5.87;-16
20201122;Mecklenburg-Vorpommern;6.78;-9
20201122;Niedersachsen;6.48;-12
20201122;Deutschland;6.66;-9
20201122;Bremen;6.37;-14
20201122;Thüringen;6.62;-9
20201122;Saarland;6.97;-2
20201122;Sachsen-Anhalt;6.65;-7
20201122;Rheinland-Pfalz;7.13;-8
20201122;Schleswig-Holstein;6.33;-11
20201129;Baden-Württemberg;6.94;-7
20201129;Hessen;6.78;-10
20201129;Berlin;5.84;-19
20201129;Brandenburg;6.22;-9
20201129;Sachsen;6.36;-10
20201129;Bayern;6.8;-9
20201129;Nordrhein-Westfalen;6.8500000000000005;-2
20201129;Hamburg;5.95;-15
20201129;Mecklenburg-Vorpommern;6.7;-10
20201129;Niedersachsen;6.59;-11
20201129;Deutschland;6.7;-8
20201129;Bremen;6.48;-13
20201129;Thüringen;6.5200000000000005;-11
20201129;Saarland;6.88;-4
20201129;Sachsen-Anhalt;6.61;-8
20201129;Rheinland-Pfalz;7.12;-8
20201129;Schleswig-Holstein;6.46;-9
20201206;Baden-Württemberg;6.92;-7
20201206;Hessen;6.97;-7
20201206;Berlin;6.5600000000000005;-9
20201206;Brandenburg;6.5600000000000005;-4
20201206;Sachsen;6.640000000000001;-6
20201206;Bayern;6.84;-9
20201206;Nordrhein-Westfalen;7.04;0
20201206;Hamburg;6.57;-7
20201206;Mecklenburg-Vorpommern;7.07;-5
20201206;Niedersachsen;6.86;-7
20201206;Deutschland;6.9;-5
20201206;Bremen;7.05;-5
20201206;Thüringen;6.73;-8
20201206;Saarland;7.1000000000000005;-1
20201206;Sachsen-Anhalt;6.91;-3
20201206;Rheinland-Pfalz;7.23;-7
20201206;Schleswig-Holstein;6.8;-4
20201213;Baden-Württemberg;6.8;-9
20201213;Hessen;6.75;-10
20201213;Berlin;6.4;-11
20201213;Brandenburg;6.43;-6
20201213;Sachsen;6.55;-7
20201213;Bayern;6.65;-11
20201213;Nordrhein-Westfalen;6.84;-2
20201213;Hamburg;6.46;-8
20201213;Mecklenburg-Vorpommern;6.95;-6
20201213;Niedersachsen;6.84;-7
20201213;Deutschland;6.75;-7
20201213;Bremen;7.04;-5
20201213;Thüringen;6.61;-9
20201213;Saarland;6.8500000000000005;-4
20201213;Sachsen-Anhalt;6.79;-5
20201213;Rheinland-Pfalz;7.07;-9
20201213;Schleswig-Holstein;6.71;-5
20201220;Baden-Württemberg;6.44;-14
20201220;Hessen;6.25;-17
20201220;Berlin;5.57;-23
20201220;Brandenburg;5.89;-14
20201220;Sachsen;5.61;-20
20201220;Bayern;6.3;-16
20201220;Nordrhein-Westfalen;6.17;-12
20201220;Hamburg;5.66;-20
20201220;Mecklenburg-Vorpommern;6.32;-15
20201220;Niedersachsen;6.16;-17
20201220;Deutschland;6.17;-15
20201220;Bremen;6.2;-17
20201220;Thüringen;6.08;-17
20201220;Saarland;6.3500000000000005;-11
20201220;Sachsen-Anhalt;6.19;-13
20201220;Rheinland-Pfalz;6.5600000000000005;-15
20201220;Schleswig-Holstein;5.87;-17
20201227;Baden-Württemberg;5.57;-25
20201227;Hessen;5.25;-30
20201227;Berlin;4.68;-35
20201227;Brandenburg;4.98;-27
20201227;Sachsen;4.96;-30
