"id","x","y","type"
671,718455,5405401,"building"
672,718455,5405401,"building"
673,718455,5405401,"building"
674,718455,5405401,"building"
675,718455,5405401,"building"
676,718655,5405401,"building"
677,718655,5405401,"building"
678,718655,5405401,"building"
679,718655,5405401,"building"
680,718655,5405401,"building"
681,718655,5405401,"building"
682,718655,5405401,"building"
683,718655,5405401,"building"
684,718655,5405401,"building"
685,718655,5405401,"building"
686,718655,5405401,"building"
687,718655,5405401,"building"
688,718655,5405401,"building"
689,718655,5405401,"building"
690,718655,5405401,"building"
691,718655,5405401,"building"
692,718655,5405401,"building"
693,718655,5405401,"building"
694,718655,5405401,"building"
695,718655,5405401,"building"
696,718655,5405401,"building"
697,718655,5405401,"building"
698,718655,5405401,"building"
699,718655,5405401,"building"
700,718655,5405401,"building"
701,718655,5405401,"building"
702,718655,5405401,"building"
703,718655,5405401,"building"
704,718655,5405401,"building"
705,718655,5405401,"building"
706,718655,5405401,"building"
707,718655,5405401,"building"
708,718655,5405401,"building"
709,718655,5405401,"building"
710,718655,5405401,"building"
711,718655,5405401,"building"
712,718655,5405401,"building"
713,718655,5405401,"building"
714,718655,5405401,"building"
715,718655,5405401,"building"
716,718655,5405401,"building"
717,718855,5405401,"building"
718,718855,5405401,"building"
719,718855,5405401,"building"
720,718855,5405401,"building"
721,718855,5405401,"building"
722,718855,5405401,"building"
723,718855,5405401,"building"
724,718855,5405401,"building"
725,718855,5405401,"building"
726,718855,5405401,"building"
727,718855,5405401,"building"
728,718855,5405401,"building"
729,721255,5405401,"building"
730,721255,5405401,"building"
731,721255,5405401,"building"
732,721255,5405401,"building"
733,721255,5405401,"building"
734,721255,5405401,"building"
735,721255,5405401,"building"
736,721255,5405401,"building"
737,721255,5405401,"building"
738,721255,5405401,"building"
739,721255,5405401,"building"
740,721255,5405401,"building"
741,721255,5405401,"building"
742,721255,5405401,"building"
743,721255,5405401,"building"
744,721255,5405401,"building"
745,721255,5405401,"building"
746,721255,5405401,"building"
747,721255,5405401,"building"
748,721255,5405401,"building"
749,721255,5405401,"building"
750,721255,5405401,"building"
751,721255,5405401,"building"
752,721255,5405401,"building"
753,721255,5405401,"building"
754,721255,5405401,"building"
755,721455,5405401,"building"
756,721455,5405401,"building"
757,721455,5405401,"building"
758,721455,5405401,"building"
