"id","x","y","type"
738,725255,5418001,"building"
739,725255,5416001,"building"
740,725255,5415201,"building"
741,725255,5415001,"building"
742,725255,5413001,"building"
743,725255,5412801,"building"
744,725255,5410001,"building"
745,725255,5409801,"building"
746,725255,5408801,"building"
747,725255,5408601,"building"
748,725255,5408401,"building"
749,725255,5407201,"building"
750,725255,5407001,"building"
751,725255,5406801,"building"
752,725255,5406601,"building"
753,725455,5414801,"building"
754,725455,5414601,"building"
755,725455,5413001,"building"
756,725455,5412801,"building"
757,725455,5410401,"building"
758,725455,5408801,"building"
759,725455,5408601,"building"
760,725455,5408401,"building"
761,725455,5407001,"building"
762,725455,5406801,"building"
763,725455,5406601,"building"
764,725455,5405801,"building"
765,725455,5405601,"building"
766,725655,5413001,"building"
767,725655,5412801,"building"
768,725655,5408801,"building"
769,725655,5408601,"building"
770,725655,5408401,"building"
771,725655,5408201,"building"
772,725655,5406801,"building"
773,725655,5406601,"building"
774,725655,5405601,"building"
775,725855,5415401,"building"
776,725855,5413201,"building"
777,725855,5413001,"building"
778,725855,5412801,"building"
779,725855,5408801,"building"
780,725855,5408601,"building"
781,725855,5408401,"building"
782,725855,5408201,"building"
783,725855,5405601,"building"
784,726055,5415401,"building"
785,726055,5413401,"building"
786,726055,5413201,"building"
787,726055,5413001,"building"
788,726055,5412801,"building"
789,726055,5412601,"building"
790,726055,5409201,"building"
791,726055,5408601,"building"
792,726055,5408401,"building"
793,726055,5408201,"building"
794,726055,5407601,"building"
795,726055,5405001,"building"
796,726055,5404801,"building"
797,726055,5404601,"building"
798,726255,5415601,"building"
799,726255,5415401,"building"
800,726255,5413201,"building"
801,726255,5413001,"building"
802,726255,5412801,"building"
803,726255,5409401,"building"
804,726255,5409201,"building"
805,726255,5408401,"building"
806,726255,5408201,"building"
807,726255,5408001,"building"
808,726255,5407601,"building"
809,726255,5407401,"building"
810,726255,5406401,"building"
811,726255,5404801,"building"
812,726255,5404601,"building"
813,726455,5415801,"building"
814,726455,5415601,"building"
815,726455,5415401,"building"
816,726455,5413401,"building"
817,726455,5413201,"building"
818,726455,5413001,"building"
819,726455,5408201,"building"
820,726455,5408001,"building"
821,726455,5406401,"building"
822,726455,5405001,"building"
823,726655,5415801,"building"
824,726655,5415601,"building"
825,726655,5415401,"building"
826,726655,5415201,"building"
827,726655,5413401,"building"
828,726655,5413201,"building"
829,726655,5413001,"building"
830,726655,5411801,"building"
831,726655,5408201,"building"
832,726855,5415801,"building"
833,726855,5415601,"building"
834,726855,5415401,"building"
835,726855,5415201,"building"
836,726855,5414001,"building"
837,726855,5413401,"building"
838,726855,5413201,"building"
839,726855,5411801,"building"
840,726855,5409201,"building"
841,726855,5407801,"building"
842,727055,5416201,"building"
843,727055,5415801,"building"
844,727055,5415601,"building"
845,727055,5415401,"building"
846,727055,5415201,"building"
847,727055,5413401,"building"
848,727055,5413201,"building"
849,727055,5412401,"building"
850,727055,5412201,"building"
851,727055,5409601,"building"
852,727055,5409401,"building"
853,727055,5409201,"building"
854,727055,5409001,"building"
855,727055,5407801,"building"
856,727055,5407601,"building"
857,727055,5407401,"building"
858,727255,5415401,"building"
859,727255,5415201,"building"
860,727255,5413401,"building"
861,727255,5413201,"building"
862,727255,5412401,"building"
863,727255,5412201,"building"
864,727255,5412001,"building"
865,727255,5409601,"building"
866,727255,5409401,"building"
867,727255,5409201,"building"
868,727255,5409001,"building"
869,727255,5407601,"building"
870,727255,5407401,"building"
871,727455,5415401,"building"
872,727455,5415201,"building"
873,727455,5412001,"building"
874,727455,5410401,"building"
875,727655,5411601,"building"
876,727655,5411401,"building"
877,727855,5411801,"building"
878,727855,5411601,"building"
879,727855,5411401,"building"
880,727855,5411201,"building"
881,728055,5411801,"building"
882,728055,5411601,"building"
883,728055,5411401,"building"
884,728055,5411201,"building"
1001,715066.2369,5426276.397,"sport"
1002,710463.4946,5422702.388,"sport"
1003,709695.5177,5425522.658,"sport"
1004,709651.6777,5425523.62,"sport"
1005,711729.483,5421730.867,"sport"
1006,710823.1401,5421896.019,"sport"
1007,709729.5502,5421970.641,"sport"
1008,713544.0338,5421800.684,"sport"
1009,710848.6875,5422168.248,"sport"
1010,711506.261,5421845.504,"sport"
1011,711573.4016,5421761.856,"sport"
1012,711391.0189,5421813.366,"sport"
1013,714011.5251,5420533.713,"sport"
1014,713907.3651,5420561.644,"sport"
1015,713490.3438,5420268.847,"sport"
1016,713853.2817,5420234.074,"sport"
1017,713016.4347,5420765.679,"sport"
1018,713174.7492,5420795.834,"sport"
1019,720024.6191,5416161.134,"sport"
1020,716032.074,5417577.321,"sport"
1021,722945.2578,5416074.499,"sport"
1022,716657.5512,5413200.974,"sport"
1023,719052.241,5413944.319,"sport"
1024,723759.3809,5412724.034,"sport"
1025,722778.8276,5411874.73,"sport"
1026,725090.3455,5408949.845,"sport"
1027,720939.856,5408314.188,"sport"
1028,719241.2645,5408955.276,"sport"
1029,712703.9147,5409752.046,"sport"
1030,714933.6903,5408155.934,"sport"
1031,713774.5434,5406014.932,"sport"
1032,717759.8724,5405864.402,"sport"
1033,718098.4399,5405969.618,"sport"
1034,718272.6836,5406419.059,"sport"
1035,718215.2503,5406512.447,"sport"
1036,718161.5524,5406393.845,"sport"
1037,718142.408,5406576.417,"sport"
1038,721961.6378,5405269.27,"sport"
1039,724585.7506,5403598.165,"sport"
1040,726793.2697,5403515.597,"sport"
1041,726138.5894,5412706.492,"sport"
1042,730599.8583,5414074.612,"sport"
