accessStopId;accessLinkId;egressStopId;egressLinkId;queryCount
103;-35993519#0;143;-266098846;7
103;-35993519#0;173;-37613338;7
103;-35993519#0;179;-28182683#0;7
103;-35993519#0;180;-27227523#1;14
103;-35993519#0;181;-548689753;14
103;-35993519#0;182;-367421977#0;7
103;-35993519#0;199;-89355289#0;7
103;-35993519#0;213;-497486409;7
103;-35993519#0;222;-367421944;14
103;-35993519#0;255;-373181456;7
103;-35993519#0;300;-88507457;14
103;-35993519#0;312;-89650896;14
103;-35993519#0;348;-551123157;7
103;-35993519#0;391;-180211473#0;7
103;-35993519#0;40;-28997388;21
103;-35993519#0;472;-59872773#1;7
103;-35993519#0;49;-355270871;14
103;-35993519#0;497;-51226915#0;7
103;-35993519#0;498;-974889671;7
103;-35993519#0;50;-297516973#1;7
103;-35993519#0;51;-509498379;7
103;-35993519#0;511;164833512#1;28
103;-35993519#0;517;-974889677#1;7
103;-35993519#0;519;-115843067#0;7
103;-35993519#0;52;-498029090;42
103;-35993519#0;529;-482530156;14
103;-35993519#0;549;-93799283;7
103;-35993519#0;556;-490673217;7
103;-35993519#0;559;-55356621;28
103;-35993519#0;58;-45026548;14
103;-35993519#0;59;-45026548;21
103;-35993519#0;678;-107602690#0;7
103;-35993519#0;692;-39207242#1;14
103;-35993519#0;694;-32702545;7
103;-35993519#0;709;-395860460#0;7
103;-35993519#0;73;-494998160;7
103;-35993519#0;80;-337954601#0;7
103;-35993519#0;800;-93772083#2;14
103;-35993519#0;817;-31963736;7
103;-35993519#0;82;-145393541;21
103;-35993519#0;839;-415306248;7
103;-35993519#0;840;-68543362;21
103;-35993519#0;865;-295732688;35
103;-35993519#0;92;-27091597#6;7
103;-35993519#0;922;-288903447#1;14
103;-35993519#0;924;-288903454;14
103;-35993519#0;931;365298401#0;7
103;-35993519#0;933;-155045708;7
103;-35993519#0;962;-144162287#2;7
104;-27091042#3;10;-112191692#1;18
104;-27091042#3;125;-126097591;36
104;-27091042#3;126;-125690144;18
104;-27091042#3;127;-127184740#0;36
104;-27091042#3;129;-27215278#1;36
104;-27091042#3;130;-484393119#0;36
104;-27091042#3;131;-52877097#0;54
104;-27091042#3;132;-430304266;18
104;-27091042#3;143;-266098846;18
104;-27091042#3;173;-37613338;18
104;-27091042#3;179;-28182683#0;18
104;-27091042#3;180;-27227523#1;36
104;-27091042#3;181;-548689753;36
104;-27091042#3;182;-367421977#0;18
104;-27091042#3;199;-89355289#0;18
104;-27091042#3;213;-497486409;18
104;-27091042#3;222;-367421944;36
104;-27091042#3;255;-373181456;18
104;-27091042#3;300;-88507457;36
104;-27091042#3;312;-89650896;36
104;-27091042#3;348;-551123157;18
104;-27091042#3;391;-180211473#0;18
104;-27091042#3;40;-28997388;54
104;-27091042#3;472;-59872773#1;18
104;-27091042#3;49;-355270871;36
104;-27091042#3;497;-51226915#0;18
104;-27091042#3;498;-974889671;18
104;-27091042#3;50;-297516973#1;18
104;-27091042#3;51;-509498379;18
104;-27091042#3;511;164833512#1;72
104;-27091042#3;517;-974889677#1;18
104;-27091042#3;519;-115843067#0;18
104;-27091042#3;52;-498029090;108
104;-27091042#3;529;-482530156;36
104;-27091042#3;549;-93799283;18
104;-27091042#3;556;-490673217;18
104;-27091042#3;559;-55356621;72
104;-27091042#3;58;-45026548;36
104;-27091042#3;59;-45026548;54
104;-27091042#3;678;-107602690#0;18
104;-27091042#3;692;-39207242#1;36
104;-27091042#3;694;-32702545;18
104;-27091042#3;709;-395860460#0;18
104;-27091042#3;73;-494998160;18
104;-27091042#3;80;-337954601#0;18
104;-27091042#3;800;-93772083#2;36
