linkId;population;weight
-35564834#7;18;4.239783299964668E-4
-35564834#5;35;8.244023083264633E-4
-47689910#0;5;1.177717583323519E-4
-651006623#3;10;2.355435166647038E-4
-47689907#1;13;3.062065716641149E-4
-830822808#2;13;3.062065716641149E-4
-59151671#2;12;2.8265221999764455E-4
-35447333#3;12;2.8265221999764455E-4
-29083490#1;21;4.94641384995878E-4
-35447334#3;25;5.888587916617595E-4
-35447330#0;23;5.417500883288188E-4
-35447333#0;10;2.355435166647038E-4
-35447332#1;9;2.119891649982334E-4
-29083497#2;26;6.124131433282298E-4
-36904577;19;4.4753268166293725E-4
-29083502;16;3.768696266635261E-4
-137409746;42;9.89282769991756E-4
-399076026;3;7.066305499941114E-5
-36904571#2;25;5.888587916617595E-4
-41574862#4;3;7.066305499941114E-5
-25928519;4;9.421740666588152E-5
-25928428#0;9;2.119891649982334E-4
-26208126;21;4.94641384995878E-4
-26208125#1;16;3.768696266635261E-4
-659993995;5;1.177717583323519E-4
-25928910#0;17;4.0042397832999645E-4
-279274892;4;9.421740666588152E-5
-968914713;0;0.0
-25928914#1;20;4.710870333294076E-4
-25928910#2;17;4.0042397832999645E-4
-25928926;15;3.533152749970557E-4
25928924;17;4.0042397832999645E-4
-115843065#1;16;3.768696266635261E-4
-25928921#0;19;4.4753268166293725E-4
-25916828#0;25;5.888587916617595E-4
-25928427#1;0;0.0
-25916826#1;26;6.124131433282298E-4
-25916583#1;19;4.4753268166293725E-4
-118322670#0;16;3.768696266635261E-4
-25916591#0;8;1.8843481333176304E-4
-25916831#0;14;3.2976092333058534E-4
-275989284#0;12;2.8265221999764455E-4
-25917623#0;6;1.4132610999882227E-4
-25928909#3;14;3.2976092333058534E-4
-179549134;1;2.355435166647038E-5
-59151686;0;0.0
-27335703;18;4.239783299964668E-4
-220736387;29;6.83076198327641E-4
-52378821#2;48;0.0011306088799905782
-118330361#5;60;0.0014132610999882229
-291450111;20;4.710870333294076E-4
-52378821#6;32;7.537392533270522E-4
27335695;54;0.0012719349899894005
-5079911;11;2.590978683311742E-4
-59151680#2;23;5.417500883288188E-4
-29086030#0;31;7.301849016605817E-4
-37619177#2;160;0.003768696266635261
-29086029#1;22;5.181957366623484E-4
-222061768#5;34;8.008479566599929E-4
-299070415#3;121;0.0028500765516429162
-59872773#1;14;3.2976092333058534E-4
-36791701;42;9.89282769991756E-4
-35447325;9;2.119891649982334E-4
-974889680;62;0.0014603698033211635
-460240531#3;27;6.359674949947003E-4
-36885980#2;9;2.119891649982334E-4
-36885977#1;10;2.355435166647038E-4
-84547890#3;25;5.888587916617595E-4
-991566128;175;0.004122011541632316
-84547896#0;29;6.83076198327641E-4
-261539669;9;2.119891649982334E-4
-251203936;7;1.6488046166529267E-4
-270577802;56;0.0013190436933223414
-29083508#1;31;7.301849016605817E-4
-35419924#3;24;5.653044399952891E-4
-137387674#0;26;6.124131433282298E-4
-35564828#1;28;6.595218466611707E-4
-35564827#0;45;0.001059945824991167
-355270871;22;5.181957366623484E-4
-41392196;35;8.244023083264633E-4
-41037014#1;15;3.533152749970557E-4
-29083508#0;36;8.479566599929336E-4
-59872011;29;6.83076198327641E-4
-35419924#2;22;5.181957366623484E-4
-24625266#2;74;0.0017430220233188081
-51226915#0;42;9.89282769991756E-4
-974889671;19;4.4753268166293725E-4
-27363508#0;34;8.008479566599929E-4
-297516973#1;85;0.0020021198916499823
-50931130#0;41;9.657284183252856E-4
-27363276;23;5.417500883288188E-4
-36885969#9;51;0.0012012719349899894
-29084525#0;115;0.002708750441644094
-36885969#2;69;0.0016252502649864563
-36885969#0;32;7.537392533270522E-4
-29084521#0;30;7.066305499941114E-4
-36885968#3;53;0.0012483806383229302
-189043954;33;7.772936049935226E-4
-35447327;34;8.008479566599929E-4
-509498379;120;0.0028265221999764457
-35447328;10;2.355435166647038E-4
164833512#1;813;0.01914968790484042
-290220638;57;0.0013425980449888117
-76095533;39;9.186197149923448E-4
-29084242;15;3.533152749970557E-4
-29084239#2;20;4.710870333294076E-4
-5019558;22;5.181957366623484E-4
-974889677#1;101;0.0023789895183135086
-250817031;42;9.89282769991756E-4
-115843067#0;96;0.0022612177599811564
-498029090;1020;0.024025438699799787
27989845;22;5.181957366623484E-4
-35177317;50;0.001177717583323519
-487402694#0;12;2.8265221999764455E-4
-29084234#0;95;0.0022376634083146863
-29565805;16;3.768696266635261E-4
-24218807;19;4.4753268166293725E-4
-159426251;75;0.0017665763749852785
-28215238#0;18;4.239783299964668E-4
-30954565;11;2.590978683311742E-4
-482530156;483;0.011376751854905194
-90113872#2;140;0.0032976092333058533
-27255297#2;1;2.355435166647038E-5
-181275129#0;11;2.590978683311742E-4
-181275129#3;21;4.94641384995878E-4
-181275133#3;13;3.062065716641149E-4
-27255185;0;0.0
-181275133#0;14;3.2976092333058534E-4
-491914404#2;26;6.124131433282298E-4
-144080364#2;43;0.0010128371216582264
-25859623;93;0.0021905547049817452
-77412309;2;4.710870333294076E-5
-539717113;40;9.421740666588152E-4
-25026060#1;23;5.417500883288188E-4
-41571505#1;8;1.8843481333176304E-4
-24908064#1;27;6.359674949947003E-4
-49602184#2;30;7.066305499941114E-4
-53471075#0;37;8.715110116594041E-4
-53471067;24;5.653044399952891E-4
53471063;14;3.2976092333058534E-4
-49602185#3;16;3.768696266635261E-4
-26782327#0;13;3.062065716641149E-4
-93799283;77;0.0018136850783182193
-76168493;118;0.002779413496643505
-35822234#0;14;3.2976092333058534E-4
-25851823;6;1.4132610999882227E-4
-53024265#2;7;1.6488046166529267E-4
-53024265#1;1;2.355435166647038E-5
-26782324;1;2.355435166647038E-5
-53471059#0;6;1.4132610999882227E-4
-490673217;227;0.005346837828288776
-54731261#1;43;0.0010128371216582264
-54731261#3;27;6.359674949947003E-4
-55356621;268;0.006312566246614062
-45026548;63;0.001483924154987634
-55356623#4;59;0.0013897067483217525
-54726409#1;52;0.0012248262866564597
-24822803#0;41;9.657284183252856E-4
-135194315#1;1;2.355435166647038E-5
-89366867;1;2.355435166647038E-5
-988099029;2;4.710870333294076E-5
-593479526;4;9.421740666588152E-5
-73500901;6;1.4132610999882227E-4
-81030468;7;1.6488046166529267E-4
-24786223#1;16;3.768696266635261E-4
-98947039;8;1.8843481333176304E-4
-39646525;28;6.595218466611707E-4
-24618804;10;2.355435166647038E-4
-485508788#1;18;4.239783299964668E-4
-39646520;3;7.066305499941114E-5
-41084690#0;2;4.710870333294076E-5
-310551177;4;9.421740666588152E-5
-24672604;5;1.177717583323519E-4
-28418720;0;0.0
-33083171;0;0.0
-440356609;16;3.768696266635261E-4
-77508106;8;1.8843481333176304E-4
-86124303;7;1.6488046166529267E-4
-41571495#0;6;1.4132610999882227E-4
-28022225#0;5;1.177717583323519E-4
-24690609#1;6;1.4132610999882227E-4
-41571244#0;15;3.533152749970557E-4
-28022225#3;6;1.4132610999882227E-4
-137570973;19;4.4753268166293725E-4
-102597702;0;0.0
-24621756#2;0;0.0
-163934874;5;1.177717583323519E-4
-38379352#0;10;2.355435166647038E-4
